start	end	text
565840	568040	Cái này còn lại là 1 phần N 14
568040	569360	Thì bật là bật 4
569360	570440	Đây cũng bật 4 luôn
570440	571260	Đây cũng bật 4 luôn
571260	572540	Và tốm lại là
572540	574560	Giá trị là 1 phần 2
574560	582160	Vậy nó cũng tồn tại 2 cái giải điểm
582160	585560	Và giới hạn của hành số sẽ không có
585560	589240	Tiếp theo 1 cái phương pháp khác
589240	591560	Để tìm giới hạn của hành 2 biến
591560	593320	Là đối với cái này chúng ta thấy
593320	594080	Đây, đây, đây, đây, đây
594080	595080	Còn đây giống như nhau luôn
595080	596580	Thì chúng ta sẽ đặt T bằng đây
596580	599480	Khi mà x, đây tiến đến 0,0
599480	602740	Thì cái biến T này sẽ tiến đến 0
602740	604640	Vậy chúng ta có
604640	607100	Thể đưa cái giới hạn kép này
607100	610020	Về giới hạn của hành 1 biến T
610020	612740	Và chúng ta dùng cái phương pháp
612740	614640	Là tìm giới hạn của hành 1 biến
614640	616780	Chúng ta có thể dùng cái vô cùng bái tương đương
616780	617720	Cho chúng ta có thể dùng
617720	618520	Nhân lượng liên hợp
618520	619020	Chúng ta tính
619020	620320	Bằng 1 trừ 3
620320	622280	Tương tự như vậy
622280	623520	Bài này cũng có thể đặt
623520	625620	T bằng x bình cộng y
625620	627820	Và x y tiến đến 0,0
627820	630380	Thì chúng ta sẽ có t tiến đến 0
630380	631740	Và chúng ta cũng đưa về được
631740	632680	Giới hạn của hành 1 biến
632680	634260	Và dễ dàng tính được là 6
634260	635920	Qua 2 cái ví dụ này
635920	637220	Chúng ta có một cái phương pháp
637220	639240	Đó là sử dụng
639240	640520	Giới hạn của hành 1 biến
640520	641680	Để tính giới hạn kép
641680	645200	Rồi đối với bài này
645200	646880	Thì nó là có một cái phương pháp khác
646880	647900	Để tìm giới hạn kép
647900	649100	Đó là chúng ta sử dụng
649100	650520	Hệ trục tổ độ cực
650520	653920	Chúng ta đặt x bằng r
653920	655520	Có ti bằng r sinh t
655520	657660	Khi mà x y tiến đến 0,0
657660	658880	Thì t hiển nhiên là
658880	659700	Nó không tiến đến đâu hết
659700	661060	Vì nó chạy xung quanh cái điểm 0
661060	662660	Thì cái góc t này nó tùy ý
662660	663640	Tuy nhiên
663640	665700	Cái r là có khoảng cách
665700	668100	Từ cái điểm x y đến góc tổ độ
668100	669240	Thì cái r này càng ngày
669240	670080	Nó càng tiến về 0
670080	672020	Vậy chúng ta có
672020	673020	R tiến về 0
673020	673760	Và thế vô
673760	675100	Thì đến đây
675100	676420	Chúng ta rút gọn bớt đi
676420	678040	Thì chúng ta ra được một cái hành
678040	679760	2 biến r t
679760	680860	Tuy nhiên
680860	683160	Cái tiền thiệt đối của cái phần này
683160	684360	Là bán hơn 1 bằng 1
684360	685760	Vậy là nó phụ thuộc vào r
685760	687140	Và r tiến về 0
687140	688980	Thì giá các hàm này sẽ tiến về 0
688980	690160	Có nghĩa là từ đây xuống đây
690160	690560	Chúng ta
690560	691680	Từ đây xuống đây chúng ta sẽ dùng
691680	693120	Để lý kẹp
693120	693660	Để chúng ta tính
693660	696200	Đó là một cái phương pháp
696200	696580	Để dùng
696580	697820	Độ độ cực
697820	699380	Để tính với hạn kép
699380	703120	Rồi có phần liên tục
703120	705200	Thì nó hoàn toàn giống như
705200	705960	Hàm 1 biến
705960	708060	Cái hàm liên tục
708060	709200	Tại điểm m0
709200	710220	Nếu như
710220	711100	Lim của fx
711100	713240	Khi xy tiến đến m0 này
713240	714640	Sẽ bằng với lại
714640	716060	fx0y0
716060	717620	Vậy để kiểm tra
717620	718560	Một cái hàm có liên tục
718560	719660	Tại một điểm nào đó là 0
719660	721780	Thì chúng ta kiểm tra
721780	723980	Giá trị này có tồn tại hay không
723980	725720	Và tiếp theo
725720	727080	Để tính với hạn kép
727080	728240	Xong rồi chúng ta so sánh
728240	728920	Hai cái này với nhau
728920	729560	Mà nó bằng nhau
729560	730620	Thì nó hàm liên tục
730620	733580	Ở đây thì
733580	734720	Phần này thầy nói
734720	736300	Thêm một số cái khái niệm
736300	737220	Mà chúng ta cũng đã biết
737220	738500	Trong giới tích 1 rồi
738500	740540	Hàm liên tục
740540	743760	Nếu nó liên tục
743760	744960	Tại mọi điểm mà nó xác định
744960	746340	Tổng hiệu tích
746340	747120	Của hai hàm liên tục
747120	747680	Là liên tục
747680	748580	Vậy là của các hàm
748580	749580	Hàm mục biến
749580	750360	Cũng có y chang như vậy
750360	750800	Thương
750800	752940	Hợp hai lĩnh tục
752940	753480	Và liên tục
753480	755600	Rồi
755600	757120	Chúng ta có
757120	758800	Đình nghĩa hàm sơ cấp
758800	759640	Thì giống y chang
759640	760660	Như đông giải tích 1
760660	761460	Những cái hàm này
761460	762380	Gọi là hàm sơ cấp
762380	764720	Hàm hàm mũ
764720	765980	Hàm lưỡi thừa
765980	766900	Hàm lượng giác
766900	767900	Hàm lượng giác ngược
767900	768720	Và hàm logarit
768720	770140	Rồi
770140	772640	Cái hàm mà thu được
772640	773640	Từ các cái hàm sơ cấp
773640	775540	Bằng hữu hàng các cái phép toán này
775540	776900	Nó gọi là hàm sơ cấp
776900	779380	Đây là hàm sơ cấp cơ bản
779380	780980	Thì ở đây dưới này là hàm sơ cấp
780980	783680	Và hàm sơ cấp
783680	784160	Thì liên tục
784160	785440	Tại những điểm mà nó xác định
785440	788900	Cũng ở trong giải tích 1
788900	789540	Trong hàm mục biến
789540	790520	Chúng ta cũng có tất cả
790520	791720	Những cái khái niệm này
791720	794180	Vậy
794180	794960	Ví dụ này
794960	796440	Tìm những điểm gián đoạn
796440	796920	Của hàm
796920	798620	X Y trên X cộng Y
798620	800040	Thì cái hàm này
800040	801040	Là hàm sơ cấp
801040	802240	Thì nó sẽ liên tục
802240	803240	Trên mọi điểm
803240	803980	Mà nó xác định
803980	805160	Thì cái tập xác định
805160	805720	Của nó là
805720	806820	X cộng Y khác không
806820	807820	Vậy
807820	809840	Nó sẽ gián đoạn
809840	810820	Trên cái đường thẳng
810820	812120	X cộng Y bằng không
812120	816280	Khảo sát tính liên tục
816280	816840	Của hàm này
816840	818020	Thì cái hàm này
818020	818720	Cũng là
818720	819740	Cái tập xác định
819740	820560	Thứ tiên mà chúng ta thấy
820560	822020	Tập xác định của hàm này là
822020	822720	R'
822860	826100	Những X Y mà khác không không
826100	827740	Thì tính theo công thức này
827740	829280	Còn tải đi bằng không không
829280	830100	Là tính theo
830100	831240	Mạch đã bằng không
831240	832720	Thì tập xác định là R'
832720	834360	Thì cái hàm này
834360	836460	Với những X Y mà khác không không
836460	837560	Thì cái hàm này là hàm sơ cấp
837560	838240	Cho nên nó liên tục
838240	839600	Với mọi điểm khác không không
839600	841680	Vậy để khảo sát tính liên tục
841680	842200	Của hàm này
842200	843780	Thì thực ra chúng ta chỉ khảo sát
843780	845460	Tại điểm không không mà thôi
845460	849780	Giá trị của hàm số tại không không là nó bằng không
849780	853360	Vậy tiếp theo chúng ta đi tìm giới hạn kép của hàm này tại không không
853360	855120	Chúng ta viết
855120	859040	Chúng ta lòng vô địa chúng ta có thể dùng cái giới hạn của hàm
859040	860700	Một biến rất là quen thuộc này
860700	864140	Thì chúng ta viết cái này để lại thành cái dạng này
864140	866160	Thì cái này là tiến đến 1
866160	868540	Còn ở chỗ này
868540	870560	Chúng ta có thể dùng để liên kẹp
870560	872200	Chúng ta kẹp lại và chỗ này tiến đến 0
872200	873420	Thì
873420	874880	Vậy như thế này đây
874880	877080	Vậy là giới hạn của hàm này
877080	878440	Là bằng
878440	880740	0
880740	883740	Và nó bằng và F00 suy ra cái hàm liên tục
883740	884880	Tại 0 không
884880	885700	Và
885700	887500	Như lúc nãy thầy nói
887500	888940	Thì cái hàm này liên tục
888940	890140	Tên ARBIN
890140	896220	Tìm tất cả cái chế thị của A để hàm này liên tục tại 0 không
896220	898120	Thì chúng ta trước tiên
898120	900780	Chúng ta thấy là F00 là bằng A rồi
900780	902780	Giờ chúng ta đi tìm giới hạn kẹp
902780	906440	Thì giới hạn kẹp này là dễ dàng tính là nó không có
906440	909320	Có thể dùng cái phương pháp Y bằng KX
909320	911220	Hay là chọn 2 dạy số
911220	912720	2 dạy điểm
912720	914500	Thì giới hạn không tồn tại
914500	918560	Như vậy là không tồn tại A để hàm liên tục tại 0 không
918560	922820	Phía sau này có rất là nhiều ví dụ đó
922820	925480	Và 2 các em có thể làm thêm
925480	927160	Bài học đến đây kết thúc
927160	928940	Cảm ơn sự quan tâm theo dõi của các em
928940	958920	Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn
